,0,Cluster
0,720575940602718432,1
1,720575940602891232,16
2,720575940602914988,14
3,720575940602964140,10
4,720575940602974688,8
5,720575940603012832,2
6,720575940603032748,0
7,720575940603045804,0
8,720575940603082720,0
9,720575940603117996,0
10,720575940603123936,1
11,720575940603197408,1
12,720575940603201452,13
13,720575940603240876,19
14,720575940603250860,1
15,720575940603274272,3
16,720575940603331686,8
17,720575940603439020,5
18,720575940603441632,9
19,720575940603446374,0
20,720575940603489824,9
21,720575940603539424,2
22,720575940603548640,6
23,720575940603565856,21
24,720575940603579616,1
25,720575940603590246,1
26,720575940603591014,6
27,720575940603609824,8
28,720575940603621344,19
29,720575940603636913,8
30,720575940603673056,25
31,720575940603676448,0
32,720575940603686624,9
33,720575940603692256,20
34,720575940603693158,0
35,720575940603695025,8
36,720575940603714272,12
37,720575940603715296,9
38,720575940603722412,17
39,720575940603727840,20
40,720575940603751857,0
41,720575940603766374,9
42,720575940603767473,14
43,720575940603786686,4
44,720575940603792352,5
45,720575940603804350,5
46,720575940603825120,25
47,720575940603827633,29
48,720575940603829950,11
49,720575940603853792,0
50,720575940603856352,27
51,720575940603870380,3
52,720575940603874784,13
53,720575940603885856,4
54,720575940603899936,22
55,720575940603905312,1
56,720575940603918769,12
57,720575940603924512,8
58,720575940603926188,15
59,720575940603938238,3
60,720575940603942828,16
61,720575940603952608,18
62,720575940603956838,11
63,720575940603974880,0
64,720575940603976672,6
65,720575940603977062,21
66,720575940604009952,4
67,720575940604014508,2
68,720575940604056544,26
69,720575940604074854,14
70,720575940604076734,0
71,720575940604081836,9
72,720575940604088288,16
73,720575940604100785,29
74,720575940604102880,1
75,720575940604106272,4
76,720575940604114604,14
77,720575940604139180,9
78,720575940604165856,6
79,720575940604167712,9
80,720575940604196064,4
81,720575940604222944,0
82,720575940604228454,4
83,720575940604246304,0
84,720575940604250214,4
85,720575940604256102,0
86,720575940604267622,20
87,720575940604274534,8
88,720575940604276652,17
89,720575940604278705,15
90,720575940604284128,2
91,720575940604285105,12
92,720575940604285356,27
93,720575940604292710,0
94,720575940604341216,17
95,720575940604351078,9
96,720575940604352172,0
97,720575940604370604,18
98,720575940604372070,2
99,720575940604383008,1
100,720575940604403628,12
101,720575940604412192,6
102,720575940604435046,1
103,720575940604451505,3
104,720575940604456108,3
105,720575940604456364,4
106,720575940604456876,8
107,720575940604458668,2
108,720575940604470240,14
109,720575940604470956,11
110,720575940604479660,13
111,720575940604481964,2
112,720575940604486880,3
113,720575940604488672,1
114,720575940604497888,1
115,720575940604504748,4
116,720575940604532913,9
117,720575940604539825,12
118,720575940604543968,19
119,720575940604569824,20
120,720575940604581152,1
121,720575940604589856,8
122,720575940604615014,0
123,720575940604624574,11
124,720575940604624998,28
125,720575940604628192,0
126,720575940604653484,2
127,720575940604658366,4
128,720575940604672870,15
129,720575940604685513,14
130,720575940604713184,0
131,720575940604729056,2
132,720575940604729312,9
133,720575940604731838,9
134,720575940604732350,10
135,720575940604735660,4
136,720575940604736544,19
137,720575940604737708,3
138,720575940604747878,4
139,720575940604748134,1
140,720575940604753254,17
141,720575940604756000,19
142,720575940604759910,0
143,720575940604763326,0
144,720575940604781158,12
145,720575940604783136,2
146,720575940604790444,0
147,720575940604808736,12
148,720575940604814526,9
149,720575940604821950,0
150,720575940604828076,14
151,720575940604831264,3
152,720575940604836128,6
153,720575940604837041,7
154,720575940604838368,1
155,720575940604843436,13
156,720575940604863916,0
157,720575940604865312,26
158,720575940604866476,13
159,720575940604866750,12
160,720575940604870577,2
161,720575940604877484,22
162,720575940604888497,0
163,720575940604889278,1
164,720575940604903968,19
165,720575940604906016,12
166,720575940604910270,10
167,720575940604921446,0
168,720575940604930918,8
169,720575940604938156,14
170,720575940604938342,14
171,720575940604941234,7
172,720575940604946865,9
173,720575940604955057,13
174,720575940604969161,15
175,720575940604979680,14
176,720575940604984678,12
177,720575940604999614,14
178,720575940605007136,8
179,720575940605007276,0
180,720575940605009097,4
181,720575940605013420,0
182,720575940605019057,23
183,720575940605027529,7
184,720575940605029036,7
185,720575940605030316,0
186,720575940605033504,0
187,720575940605037996,0
188,720575940605039788,0
189,720575940605040300,7
190,720575940605041330,4
191,720575940605073342,1
192,720575940605074278,14
193,720575940605080608,0
194,720575940605093310,5
195,720575940605098626,0
196,720575940605105696,7
197,720575940605106976,3
198,720575940605114754,26
199,720575940605115337,1
200,720575940605118054,2
201,720575940605125152,26
202,720575940605154336,14
203,720575940605154988,12
204,720575940605158065,10
205,720575940605177534,11
206,720575940605187970,2
207,720575940605188226,21
208,720575940605188542,2
209,720575940605197158,9
210,720575940605199038,15
211,720575940605199305,1
212,720575940605214636,12
213,720575940605226673,0
214,720575940605238206,4
215,720575940605238914,9
216,720575940605248130,29
217,720575940605248898,7
218,720575940605249154,20
219,720575940605252798,3
220,720575940605256649,1
221,720575940605262722,4
222,720575940605274825,4
223,720575940605277798,14
224,720575940605287881,9
225,720575940605302974,12
226,720575940605322674,3
227,720575940605341216,11
228,720575940605344434,4
229,720575940605344945,1
230,720575940605355721,12
231,720575940605360817,6
232,720575940605367473,1
233,720575940605368497,20
234,720575940605376800,3
235,720575940605395558,0
236,720575940605396926,1
237,720575940605400096,1
238,720575940605407846,11
239,720575940605408870,5
240,720575940605410592,3
241,720575940605411808,12
242,720575940605420902,6
243,720575940605424416,0
244,720575940605427134,3
245,720575940605450342,4
246,720575940605464766,11
247,720575940605475774,14
248,720575940605488305,2
249,720575940605498302,1
250,720575940605513649,4
251,720575940605531826,0
252,720575940605535666,1
253,720575940605545602,3
254,720575940605550950,1
255,720575940605552818,12
256,720575940605554354,0
257,720575940605587558,0
258,720575940605597385,1
259,720575940605601214,8
260,720575940605604030,11
261,720575940605607392,5
262,720575940605611209,19
263,720575940605633824,16
264,720575940605639810,1
265,720575940605658033,2
266,720575940605667458,9
267,720575940605675808,7
268,720575940605676210,2
269,720575940605681440,7
270,720575940605688608,0
271,720575940605694752,7
272,720575940605702176,11
273,720575940605702944,14
274,720575940605704550,16
275,720575940605705406,7
276,720575940605721801,0
277,720575940605725873,1
278,720575940605726642,2
279,720575940605777841,22
280,720575940605780140,9
281,720575940605792946,0
282,720575940605807206,5
283,720575940605816498,10
284,720575940605829297,1
285,720575940605830112,0
286,720575940605835465,13
287,720575940605836204,9
288,720575940605842656,7
289,720575940605842912,22
290,720575940605856689,2
291,720575940605876866,5
292,720575940605891506,12
293,720575940605912032,0
294,720575940605924994,2
295,720575940605937097,6
296,720575940605938633,1
297,720575940605945778,9
298,720575940605948076,0
299,720575940605950496,2
300,720575940605960626,1
301,720575940605974188,0
302,720575940606010057,3
303,720575940606015154,4
304,720575940606018690,17
305,720575940606028210,1
306,720575940606039241,0
307,720575940606042814,3
308,720575940606046892,1
309,720575940606047874,13
310,720575940606059977,26
311,720575940606077570,8
312,720575940606083529,8
313,720575940606084444,5
314,720575940606112940,11
315,720575940606133932,19
316,720575940606134444,8
317,720575940606141374,16
318,720575940606149321,20
319,720575940606162306,26
320,720575940606165378,4
321,720575940606170754,0
322,720575940606179686,1
323,720575940606182758,1
324,720575940606185090,5
325,720575940606185858,0
326,720575940606218528,6
327,720575940606222014,2
328,720575940606224318,4
329,720575940606228233,8
330,720575940606229513,2
331,720575940606242592,2
332,720575940606246334,17
333,720575940606266726,20
334,720575940606301874,4
335,720575940606306737,28
336,720575940606308286,4
337,720575940606319794,3
338,720575940606342089,2
339,720575940606345760,31
340,720575940606354633,1
341,720575940606366850,0
342,720575940606370517,14
343,720575940606391218,4
344,720575940606414526,2
345,720575940606421122,14
346,720575940606425522,9
347,720575940606431921,4
348,720575940606432177,0
349,720575940606433410,3
350,720575940606441941,4
351,720575940606461216,2
352,720575940606482524,13
353,720575940606504370,0
354,720575940606515292,0
355,720575940606528130,0
356,720575940606548326,6
357,720575940606564482,3
358,720575940606573490,3
359,720575940606574091,14
360,720575940606596619,11
361,720575940606605745,9
362,720575940606607234,3
363,720575940606609696,25
364,720575940606610976,10
365,720575940606611977,0
366,720575940606613771,20
367,720575940606615388,7
368,720575940606624725,17
369,720575940606626994,8
370,720575940606627762,27
371,720575940606628530,8
372,720575940606632114,1
373,720575940606636210,5
374,720575940606646194,8
